第5320回,2019/12/02,448,   
第5321回,2019/12/03,242,
第5322回,2019/12/04,895,
第5323回,2019/12/05,340,
第5324回,2019/12/06,694,
第5325回,2019/12/09,869,
第5326回,2019/12/10,436,
第5327回,2019/12/11,247,
第5328回,2019/12/12,844,
第5329回,2019/12/13,865,
第5330回,2019/12/16,491,
第5331回,2019/12/17,392,
第5332回,2019/12/18,626,
第5333回,2019/12/19,680,
第5334回,2019/12/20,325,
第5335回,2019/12/23,349,
第5336回,2019/12/24,079,
第5337回,2019/12/25,113,
第5338回,2019/12/26,914,
第5339回,2019/12/27,475,
第5340回,2019/12/30,721,

第5320回,2019/12/02,4556,
第5321回,2019/12/03,3710,
第5322回,2019/12/04,0053,
第5323回,2019/12/05,7622,
第5324回,2019/12/06,2842,
第5325回,2019/12/09,9864,
第5326回,2019/12/10,9168,
第5327回,2019/12/11,7186,
第5328回,2019/12/12,0018,
第5329回,2019/12/13,8482,
第5330回,2019/12/16,0408,
第5331回,2019/12/17,6065,
第5332回,2019/12/18,6084,
第5333回,2019/12/19,8496,
第5334回,2019/12/20,1505,
第5335回,2019/12/23,1333,
第5336回,2019/12/24,4069,
第5337回,2019/12/25,6395,
第5338回,2019/12/26,4732,
第5339回,2019/12/27,2682,
第5340回,2019/12/30,9980,

第1437回,2019/12/02,3,11,24,25,37,40,(14),
第1438回,2019/12/05,2,5,6,20,33,38,(22),,,
第1439回,2019/12/09,11,17,23,28,34,41,(4),
第1440回,2019/12/12,1,7,20,31,41,42,(28),,
第1441回,2019/12/16,12,22,24,33,35,42,(36)
第1442回,2019/12/19,12,21,35,36,40,43,(39)
第1443回,2019/12/23,2,4,8,10,22,33,(28),,,
第1444回,2019/12/26,11,20,24,25,30,37,(14)
第1445回,2019/12/30,3,14,24,29,30,42,(21),



