第0904回,2001/09/05,005,139口,"141,400円",296口,"47,100円",233口,"94,200円",508口,"23,500円",629口,"14,100円","169,923,000円"
第0905回,2001/09/07,812,275口,"77,900円",988口,"12,900円",472口,"45,400円","2,235口","6,400円",799口,"7,700円","169,948,000円"
第0906回,2001/09/10,202,276口,"85,000円",551口,"28,300円",382口,"56,600円",796口,"14,100円",616口,"8,500円","171,760,600円"
第0907回,2001/09/12,865,330口,"72,900円",750口,"12,100円",563口,"42,500円","1,514口","6,000円",461口,"7,200円","154,990,800円"
第0908回,2001/09/14,042,258口,"96,900円",829口,"16,100円",286口,"56,500円","1,567口","8,000円",573口,"9,600円","161,777,000円"
第0909回,2001/09/17,116,327口,"81,100円",375口,"27,000円",517口,"54,000円",504口,"13,500円",848口,"8,100円","174,211,000円"
第0910回,2001/09/19,947,344口,"70,400円",845口,"11,700円",500口,"41,000円","1,859口","5,800円",528口,"7,000円","154,075,200円"
第0911回,2001/09/21,972,136口,"102,800円",985口,"17,100円",245口,"59,900円","2,198口","8,500円",627口,"10,200円","157,501,800円"
第0912回,2001/09/24,891,149口,"99,700円",865口,"16,600円",313口,"58,100円","1,870口","8,300円",540口,"9,900円","151,953,400円"
第0913回,2001/09/26,524,273口,"75,100円","1,112口","12,500円",436口,"43,800円","2,062口","6,200円",881口,"7,500円","162,318,400円"
第0914回,2001/09/28,737,198口,"104,900円",395口,"34,900円",303口,"69,900円",618口,"17,400円",875口,"10,400円","168,432,000円"
