2007/04/03,330,242口,"63,700円",354口,"21,200円",340口,"42,400円",409口,"10,600円",456口,"6,300円","99,212,400円"
2007/04/04,121,162口,"77,700円",304口,"25,900円",246口,"51,800円",487口,"12,900円",474口,"7,700円","96,020,600円"
2007/04/05,368,171口,"72,300円",665口,"12,000円",325口,"42,100円","1,436口","6,000円",428口,"7,200円","101,883,800円"
2007/04/06,379,138口,"84,600円",608口,"14,100円",309口,"49,300円","1,151口","7,000円",452口,"8,400円","105,474,200円"
2007/04/09,266,130口,"115,300円",363口,"38,400円",178口,"76,800円",412口,"19,200円",659口,"11,500円","129,281,800円"
2007/04/10,646,95口,"122,000円",181口,"40,600円",164口,"81,300円",301口,"20,300円",449口,"12,200円","97,536,200円"
2007/04/11,165,125口,"94,500円",530口,"15,700円",195口,"55,100円","1,200口","7,800円",462口,"9,400円","99,418,600円"
2007/04/12,715,168口,"68,400円",729口,"11,400円",336口,"39,900円","1,434口","5,700円",545口,"6,800円","100,384,600円"
2007/04/13,183,132口,"81,600円",771口,"13,600円",238口,"47,600円","1,746口","6,800円",646口,"8,100円","110,523,800円"
2007/04/16,223,212口,"85,600円",391口,"28,500円",319口,"57,000円",414口,"14,200円",661口,"8,500円","131,388,400円"
2007/04/17,974,102口,"93,600円",450口,"15,600円",202口,"54,600円","1,167口","7,800円",809口,"9,300円","98,382,800円"
2007/04/18,621,140口,"84,300円",624口,"14,000円",218口,"49,100円","1,356口","7,000円",407口,"8,400円","98,365,000円"
2007/04/19,519,157口,"82,400円",521口,"13,700円",318口,"48,000円",889口,"6,800円",608口,"8,200円","103,420,200円"
2007/04/20,926,177口,"64,900円",848口,"10,800円",421口,"37,800円","1,643口","5,400円",612口,"6,400円","109,982,000円"
2007/04/23,301,149口,"102,200円",767口,"17,000円",273口,"59,600円","1,358口","8,500円",386口,"10,200円","133,548,800円"
2007/04/24,456,152口,"83,000円",532口,"13,800円",320口,"48,400円",858口,"6,900円",500口,"8,300円","101,249,200円"
2007/04/25,123,362口,"43,200円",971口,"7,200円",651口,"25,200円","1,593口","3,600円",587口,"4,300円","105,257,800円"
2007/04/26,157,141口,"103,100円",535口,"17,100円",187口,"60,100円","1,126口","8,500円",409口,"10,300円","108,695,800円"
2007/04/27,306,144口,"90,900円",593口,"15,100円",317口,"53,000円","1,211口","7,500円",383口,"9,000円","114,560,000円"
2007/04/30,701,137口,"114,000円",517口,"19,000円",221口,"66,500円",964口,"9,500円",422口,"11,400円","120,291,000円"
