2019/05/02,992,35口,"142,900円",193口,"47,600円",109口,"95,200円",282口,"23,800円",307口,"14,200円"
2019/05/03,349,68口,"85,300円",579口,"14,200円",208口,"49,700円",965口,"7,100円",609口,"8,500円"
2019/05/06,265,79口,"100,100円",673口,"16,600円",141口,"58,300円","1,248口","8,300円",480口,"10,000円"
2019/05/07,705,86口,"71,600円",644口,"11,900円",243口,"41,700円","1,054口","5,900円",577口,"7,100円"
2019/05/08,451,57口,"99,000円",529口,"16,500円",150口,"57,700円","1,013口","8,200円",503口,"9,900円"
2019/05/09,983,62口,"102,200円",514口,"17,000円",116口,"59,600円","1,120口","8,500円",466口,"10,200円"
2019/05/10,776,68口,"102,800円",285口,"34,200円",159口,"68,500円",290口,"17,100円",608口,"10,200円"
2019/05/13,482,65口,"115,200円",661口,"19,200円",145口,"67,200円","1,127口","9,600円",347口,"11,500円"
2019/05/14,856,64口,"97,600円",444口,"16,200円",170口,"56,900円",849口,"8,100円",456口,"9,700円"
2019/05/15,314,135口,"69,800円",495口,"11,600円",311口,"40,700円",912口,"5,800円",557口,"6,900円"
2019/05/16,129,110口,"67,500円",566口,"11,200円",322口,"39,300円","1,065口","5,600円",527口,"6,700円"
2019/05/17,647,105口,"81,100円",525口,"13,500円",215口,"47,300円",978口,"6,700円",678口,"8,100円"
2019/05/20,025,83口,"84,000円",865口,"14,000円",175口,"49,000円","1,498口","7,000円",577口,"8,400円"
2019/05/21,193,86口,"77,500円",451口,"12,900円",239口,"45,200円",947口,"6,400円",499口,"7,700円"
2019/05/22,522,300口,"31,200円",688口,"10,400円",664口,"20,800円",568口,"5,200円",724口,"3,100円"
2019/05/23,381,59口,"88,700円",579口,"14,700円",165口,"51,700円","1,218口","7,300円",323口,"8,800円"
2019/05/24,682,69口,"107,500円",522口,"17,900円",125口,"62,700円","1,150口","8,900円",295口,"10,700円"
2019/05/27,718,121口,"74,400円",675口,"12,400円",254口,"43,400円","1,177口","6,200円",906口,"7,400円"
2019/05/28,077,34口,"132,200円",213口,"44,000円",96口,"88,100円",246口,"22,000円",465口,"13,200円"
2019/05/29,779,69口,"105,000円",263口,"35,000円",139口,"70,000円",298口,"17,500円",368口,"10,500円"
2019/05/30,731,96口,"68,500円",667口,"11,400円",256口,"39,900円","1,282口","5,700円",578口,"6,800円"
2019/05/31,943,133口,"65,200円",556口,"10,800円",374口,"38,000円","1,022口","5,400円",520口,"6,500円"
