2010/02/02,9005,26口,"1,206,500円",149口,"100,500円",75口,"653,500円",812口,"50,200円","302,643,600円"
2010/02/03,9759,14口,"1,319,500円",147口,"109,900円",81口,"714,700円",805口,"54,900円","303,980,800円"
2010/02/04,0492,15口,"1,372,700円",430口,"57,100円",50口,"714,900円","2,074口","28,500円","311,673,400円"
2010/02/05,4410,82口,"620,500円",204口,"51,700円",159口,"336,100円","1,188口","25,800円","323,523,200円"
2010/02/08,8441,54口,"992,600円",215口,"82,700円",79口,"537,600円","1,149口","41,300円","358,625,800円"
2010/02/09,9874,14口,"1,113,800円",400口,"46,400円",92口,"580,100円","2,029口","23,200円","299,146,200円"
2010/02/10,4583,49口,"841,800円",481口,"35,000円",92口,"438,400円","2,181口","17,500円","303,823,200円"
2010/02/11,4142,26口,"1,086,100円",148口,"90,500円",83口,"588,300円",780口,"45,200円","279,480,600円"
2010/02/12,8699,35口,"943,500円",238口,"78,600円",92口,"511,000円","1,116口","39,300円","316,976,400円"
2010/02/15,2548,53口,"890,800円",631口,"37,100円",109口,"463,900円","2,328口","18,500円","365,379,000円"
2010/02/16,2764,46口,"720,800円",670口,"30,000円",109口,"375,400円","2,681口","15,000円","298,811,400円"
2010/02/17,8842,29口,"1,019,600円",308口,"84,900円",61口,"552,200円","1,079口","42,400円","300,607,800円"
2010/02/18,8683,35口,"1,041,100円",195口,"86,700円",81口,"563,900円",947口,"43,300円","311,390,000円"
2010/02/19,5904,34口,"966,200円",455口,"40,200円",89口,"503,200円","2,462口","20,100円","323,367,200円"
2010/02/22,7899,48口,"943,200円",259口,"78,600円",114口,"510,900円","1,110口","39,300円","372,241,800円"
2010/02/23,9408,33口,"821,100円",566口,"34,200円",88口,"427,600円","2,897口","17,100円","297,026,600円"
2010/02/24,1573,28口,"843,100円",666口,"35,100円",100口,"439,100円","2,568口","17,500円","302,267,000円"
2010/02/25,3971,29口,"970,600円",520口,"40,400円",84口,"505,500円","2,525口","20,200円","317,130,600円"
2010/02/26,6338,52口,"677,700円",370口,"56,400円",114口,"367,000円","1,657口","28,200円","321,726,800円"
