2016/02/02,0908,61口,"490,100円",229口,"40,800円",142口,"265,400円",994口,"20,400円"
2016/02/03,1499,18口,"1,011,700円",167口,"84,300円",63口,"548,000円",900口,"42,100円"
2016/02/04,8845,39口,"600,900円",254口,"50,000円",119口,"325,400円","1,119口","25,000円"
2016/02/05,2339,39口,"748,500円",149口,"62,300円",109口,"405,400円",787口,"31,100円"
2016/02/08,9359,15口,"1,264,600円",232口,"105,300円",47口,"684,900円",829口,"52,600円"
2016/02/09,3120,19口,"875,100円",402口,"36,400円",67口,"455,700円","1,985口","18,200円"
2016/02/10,3276,22口,"923,700円",391口,"38,400円",63口,"481,000円","1,974口","19,200円"
2016/02/11,8813,22口,"954,700円",158口,"79,500円",72口,"517,100円",652口,"39,700円"
2016/02/12,8365,12口,"978,300円",401口,"40,700円",70口,"509,500円","2,069口","20,300円"
2016/02/15,8458,18口,"1,161,700円",183口,"96,800円",74口,"629,200円",798口,"48,400円"
2016/02/16,8329,34口,"508,600円",476口,"21,100円",205口,"264,800円","2,153口","10,500円"
2016/02/17,5738,26口,"878,300円",478口,"36,500円",69口,"457,400円","1,991口","18,200円"
2016/02/18,3157,40口,"661,300円",505口,"27,500円",112口,"344,400円","2,176口","13,700円"
2016/02/19,7027,21口,"947,300円",195口,"78,900円",79口,"513,100円",914口,"39,400円"
2016/02/22,8368,23口,"1,088,100円",215口,"90,600円",67口,"589,300円",840口,"45,300円"
2016/02/23,2332,30口,"733,700円",140口,"122,200円",86口,"427,900円",423口,"61,100円"
2016/02/24,8831,27口,"886,300円",169口,"73,800円",87口,"480,000円",757口,"36,900円"
2016/02/25,1576,21口,"1,030,800円",292口,"42,900円",84口,"536,800円","1,349口","21,400円"
2016/02/26,9766,9口,"1,314,700円",150口,"109,500円",65口,"712,100円",675口,"54,700円"
2016/02/29,3730,37口,"996,800円",181口,"83,000円",70口,"539,900円",844口,"41,500円"
